short_name,age,club_name,nationality_name,overall,potential,value_eur,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,preferred_foot,sofifa_id
N. Conti,20,Real Madrid,Morocco,76,82,14030000,28000,LB,87,40,70,57,87,71,Right,100045
N. Santos,16,Borussia Dortmund,Spain,64,72,9010000,18000,CB,66,67,62,61,85,75,Right,100046
M. Dubois,18,Liverpool,Japan,73,87,15130000,32000,CDM,71,60,74,81,75,73,Right,100047
V. Williams,21,Borussia Dortmund,Japan,79,81,14520000,27000,RWB,60,46,59,59,90,76,Left,100048
L. Smith,19,Atlético de Madrid,Colombia,64,72,9010000,20000,CB,83,67,78,74,78,84,Left,100049
L. Santos,18,Aston Villa,Italy,67,80,11940000,24000,ST,72,80,82,70,49,83,Right,100050
J. Taylor,19,Ajax,Brazil,75,82,13790000,28000,LB,81,50,63,58,68,71,Left,100051
H. Dubois,19,FC Barcelona,Nigeria,66,75,10130000,19000,RB,67,41,57,71,68,83,Right,100052
N. Dubois,17,Paris Saint-Germain,Colombia,64,75,10060000,21000,GK,76,84,60,65,47,83,Left,100053
M. Santos,27,Paris Saint-Germain,Croatia,71,71,9210000,20000,CF,70,79,58,72,52,83,Right,100054
H. Rossi,21,Brighton & Hove Albion,Morocco,71,75,10610000,23000,RW,86,81,69,81,45,60,Left,100055
E. Schmidt,20,Manchester City,Morocco,70,80,12230000,23000,LB,76,65,57,55,87,88,Right,100056
M. Kovacić,18,Benfica,Ghana,62,70,8300000,14000,CDM,79,82,77,87,75,60,Right,100057
E. García,22,FC Barcelona,Netherlands,75,78,12390000,25000,GK,76,77,56,90,44,66,Left,100058
V. Popov,19,Manchester City,Spain,69,75,10360000,22000,GK,83,80,57,77,59,77,Left,100059
J. Conti,17,Borussia Dortmund,Belgium,68,82,12720000,26000,CAM,74,77,68,73,81,71,Left,100060
H. Conti,25,FC Barcelona,France,81,83,15890000,29000,RB,87,36,77,76,86,89,Left,100061
A. Schmidt,22,Sporting CP,Belgium,73,75,10930000,20000,GK,60,69,76,70,39,65,Right,100062
G. De Jong,25,Inter,Argentina,81,84,16240000,28000,CDM,68,61,73,78,81,77,Left,100063
M. Silva,20,Free Agent,Norway,64,76,10410000,22000,RM,79,67,86,82,73,76,Right,100064
L. Fernández,20,Free Agent,Brazil,68,83,13070000,23000,RB,85,57,63,66,88,68,Right,100065
J. Conti,18,Bayer 04 Leverkusen,Belgium,62,69,7950000,19000,RM,83,73,75,78,70,58,Left,100066
N. Smith,30,Liverpool,England,74,74,10780000,23000,CDM,66,79,90,68,61,83,Right,100067
S. Schneider,20,Ajax,Morocco,66,77,10830000,21000,CM,75,62,82,82,79,71,Left,100068
N. Müller,32,Free Agent,England,72,72,6310000,16000,GK,70,80,80,75,55,71,Right,100069
L. Santos,19,Inter,Uruguay,75,85,14840000,28000,LWB,85,44,76,59,71,69,Right,100070
G. Fernández,19,Atlético de Madrid,Morocco,71,86,14460000,29000,CM,87,58,91,70,62,61,Left,100071
E. Schneider,22,Brighton & Hove Albion,France,83,91,19470000,39000,LB,87,66,74,66,85,70,Right,100072
G. Moreau,22,Paris Saint-Germain,Germany,68,74,9920000,20000,LM,72,62,79,68,50,58,Left,100073
G. Schmidt,23,Ajax,Uruguay,78,83,14910000,30000,GK,67,66,68,61,53,82,Right,100074
L. Schmidt,23,Aston Villa,Italy,68,71,8870000,16000,LB,85,44,56,73,76,74,Right,100075
D. Brown,17,Aston Villa,Morocco,66,73,9430000,17000,GK,65,83,78,63,59,85,Right,100076
S. Schneider,31,Liverpool,England,71,71,5990000,13000,GK,63,78,57,76,37,80,Right,100077
O. Smith,17,Sporting CP,Germany,62,74,9700000,19000,RW,93,87,62,79,41,77,Left,100078
M. Smith,24,Real Madrid,Ghana,76,80,13330000,28000,RB,76,54,70,76,80,86,Right,100079
N. Conti,20,Juventus,Germany,73,87,15130000,30000,LM,70,64,81,85,68,83,Right,100080
O. Van Dijk,22,Inter,Morocco,72,78,11810000,25000,LM,86,77,88,69,70,80,Right,100081
M. Schneider,25,Inter,Croatia,76,76,11930000,26000,LWB,85,48,59,57,90,78,Right,100082
J. Smith,23,Juventus,Nigeria,82,87,17670000,32000,CAM,73,74,73,72,63,70,Left,100083
M. Williams,18,Paris Saint-Germain,Spain,70,77,11180000,22000,CF,71,69,62,73,43,62,Right,100084
G. Rossi,20,Borussia Dortmund,Portugal,62,73,9350000,16000,CDM,78,64,80,69,53,63,Right,100085
G. Williams,23,FC Barcelona,Nigeria,70,76,10830000,21000,GK,81,64,80,78,41,67,Left,100086
N. Van Dijk,19,Borussia Dortmund,Brazil,63,78,11100000,25000,LWB,87,42,63,61,68,70,Right,100087
G. Schneider,22,Sporting CP,Nigeria,81,83,15890000,29000,GK,79,87,60,80,40,76,Right,100088
H. Müller,32,Ajax,Ghana,80,80,9420000,18000,CB,74,55,70,76,88,78,Right,100089
A. Jones,28,Paris Saint-Germain,Japan,73,75,10930000,24000,LW,89,89,75,82,33,71,Left,100090
S. Brown,23,Benfica,Netherlands,82,84,16620000,30000,CM,83,79,70,81,72,82,Right,100091
E. Dubois,28,Liverpool,Italy,79,82,14870000,29000,ST,77,70,69,91,52,75,Right,100092
L. Dubois,19,Aston Villa,Brazil,73,82,13380000,27000,GK,62,82,82,64,43,68,Right,100093
K. Conti,33,Free Agent,Nigeria,84,84,11340000,25000,GK,87,74,67,87,50,77,Left,100094
K. Van Dijk,28,Real Madrid,Croatia,75,76,11690000,20000,GK,59,79,56,69,58,82,Left,100095
E. Van Dijk,21,Brighton & Hove Albion,Morocco,72,80,12510000,23000,GK,87,55,72,91,49,81,Right,100096
S. Smith,20,Benfica,France,71,85,14110000,28000,CF,86,77,58,69,33,57,Left,100097
E. Jones,18,Arsenal,Morocco,66,78,11180000,24000,LM,78,62,72,71,52,78,Right,100098
N. Smith,22,Arsenal,Nigeria,72,78,11810000,25000,ST,79,83,74,88,38,63,Right,100099
M. Conti,17,Bayer 04 Leverkusen,Nigeria,64,73,9360000,21000,GK,55,86,56,87,42,71,Right,100100
S. Smith,23,Liverpool,Spain,69,76,10710000,20000,LM,64,75,79,66,71,69,Left,100101
D. Dubois,21,FC Barcelona,England,81,85,16590000,31000,GK,71,77,69,64,55,78,Right,100102
L. Popov,23,Arsenal,Netherlands,70,78,11530000,25000,LB,61,52,69,73,69,87,Right,100103
V. Schmidt,21,Ajax,Belgium,68,77,10970000,20000,ST,92,74,76,84,29,83,Right,100104
R. Fernández,18,Paris Saint-Germain,Norway,69,75,10360000,23000,RWB,76,54,78,59,69,73,Right,100105
V. Van Dijk,21,Aston Villa,Portugal,80,87,16940000,33000,GK,65,77,77,75,45,86,Right,100106
E. Popov,23,Bayern München,England,71,80,12360000,24000,CB,83,59,57,57,85,86,Right,100107
N. Brown,16,Juventus,France,66,73,9430000,21000,RW,79,86,78,73,25,59,Left,100108
K. De Jong,20,Ajax,Brazil,71,78,11660000,22000,ST,83,90,70,76,50,79,Left,100109
S. Popov,21,Free Agent,Japan,73,81,13030000,28000,RWB,70,51,58,55,75,84,Left,100110
O. Dubois,22,FC Barcelona,Belgium,71,79,12010000,21000,RW,93,86,71,90,38,78,Left,100111
V. Popov,24,Aston Villa,Italy,77,84,14980000,31000,LWB,78,41,57,69,90,81,Right,100112
E. Williams,24,Bayer 04 Leverkusen,Uruguay,79,85,15920000,31000,RW,75,67,76,82,49,77,Right,100113
R. Moreau,20,Free Agent,France,71,83,13410000,25000,CAM,78,64,89,77,74,74,Right,100114
K. Williams,19,Free Agent,Netherlands,70,79,11880000,20000,GK,72,76,56,74,42,72,Left,100115
L. García,20,Inter,Netherlands,64,79,11460000,22000,LW,74,70,77,69,51,78,Left,100116
V. De Jong,21,Benfica,Morocco,73,79,12330000,25000,RB,60,56,75,60,73,83,Right,100117
D. Jones,18,Liverpool,Norway,72,85,14260000,28000,RW,78,87,60,86,32,59,Right,100118
J. Conti,33,Bayern München,Morocco,73,73,6650000,11000,CB,87,45,58,69,73,89,Right,100119
N. Moreau,19,Sporting CP,Norway,69,80,12110000,26000,LB,84,36,69,65,75,86,Right,100120
G. De Jong,26,Paris Saint-Germain,Norway,74,75,11130000,25000,RB,81,38,73,74,68,87,Right,100121
M. Santos,19,Free Agent,Norway,76,82,14030000,29000,RB,65,45,58,67,78,70,Right,100122
L. Kovacić,17,Inter,Japan,63,76,10400000,18000,ST,74,87,67,79,26,67,Left,100123
E. Santos,23,Liverpool,Japan,71,73,9910000,18000,RW,74,73,74,76,35,69,Right,100124
N. García,21,Manchester City,Brazil,74,78,12180000,25000,GK,85,59,84,87,46,82,Right,100125
G. Fernández,17,Free Agent,Colombia,69,83,13160000,25000,CDM,64,60,68,73,81,79,Right,100126
H. Rossi,16,Brighton & Hove Albion,Norway,74,87,15330000,30000,LW,78,69,71,70,45,59,Right,100127
J. Moreau,25,FC Barcelona,Argentina,83,84,17020000,32000,GK,58,79,67,69,59,82,Right,100128
N. Schneider,25,Real Madrid,Colombia,76,79,12980000,26000,RWB,78,67,77,69,68,84,Left,100129
M. Dubois,27,Inter,Norway,71,72,9560000,21000,RW,77,72,76,74,43,60,Left,100130
S. Kovacić,29,Bayer 04 Leverkusen,Colombia,76,78,12630000,27000,GK,69,83,55,79,41,68,Right,100131
S. Müller,35,FC Barcelona,England,68,68,5080000,11000,LB,64,61,77,55,71,89,Right,100132
V. Rossi,23,Ajax,Germany,72,76,11110000,21000,RM,62,79,73,78,80,72,Left,100133
S. Brown,26,Free Agent,Japan,84,84,17450000,34000,LM,66,72,71,77,62,59,Left,100134
K. Conti,16,Liverpool,France,64,72,9010000,17000,GK,80,81,59,79,45,74,Right,100135
V. Silva,19,Liverpool,England,67,80,11940000,21000,RWB,85,46,67,62,85,68,Right,100136
S. Schneider,16,Brighton & Hove Albion,Japan,73,82,13380000,29000,LW,74,88,62,75,34,71,Right,100137
K. Conti,22,Juventus,Germany,77,79,13230000,28000,RW,88,78,65,76,46,65,Right,100138
N. Rossi,20,Aston Villa,Morocco,75,85,14840000,29000,LM,87,71,71,87,72,82,Right,100139
O. Moreau,19,Juventus,Germany,67,79,11590000,25000,ST,84,85,72,76,45,63,Left,100140
K. Santos,18,Bayer 04 Leverkusen,Ghana,70,80,12230000,26000,GK,79,80,65,65,36,71,Right,100141
M. Schmidt,19,Liverpool,Morocco,63,69,7950000,18000,LW,81,91,76,89,48,79,Right,100142
N. Fernández,21,Real Madrid,Netherlands,73,79,12330000,27000,LM,62,74,78,87,75,75,Right,100143
L. Taylor,23,Brighton & Hove Albion,Spain,74,76,11480000,25000,RM,70,74,87,87,71,65,Right,100144
L. Müller,21,Benfica,Norway,68,77,10970000,22000,GK,84,77,73,86,58,83,Right,100145
N. Dubois,19,Ajax,Morocco,75,81,13440000,28000,LW,85,72,76,85,25,68,Right,100146
R. Brown,23,Arsenal,Spain,69,72,9310000,21000,CF,86,82,63,86,28,55,Right,100147
M. Moreau,19,Real Madrid,Norway,68,80,12020000,26000,RW,79,74,76,81,26,82,Right,100148
H. Taylor,25,Benfica,Uruguay,87,89,20630000,39000,CF,70,89,80,70,48,77,Right,100149
O. Schmidt,23,Borussia Dortmund,Croatia,80,89,17640000,34000,LW,74,67,76,68,52,69,Right,100150
O. Williams,24,Aston Villa,Croatia,70,79,11880000,26000,ST,83,88,71,78,40,58,Right,100151
L. Brown,29,Juventus,Germany,83,85,17370000,31000,ST,85,82,64,77,31,55,Left,100152
L. Müller,18,Brighton & Hove Albion,Brazil,64,72,9010000,21000,GK,83,72,56,60,49,69,Right,100153
O. Popov,19,Aston Villa,Spain,71,78,11660000,25000,RW,92,87,69,87,29,59,Right,100154
N. Taylor,20,Manchester City,Spain,75,89,16240000,33000,RW,81,67,77,89,36,78,Right,100155
N. Smith,17,Bayern München,Germany,75,88,15890000,30000,CM,75,80,84,83,68,74,Left,100156
L. Santos,19,Juventus,England,69,76,10710000,19000,RB,84,43,76,76,78,81,Right,100157
K. Müller,33,Borussia Dortmund,Ghana,80,80,9420000,19000,CAM,84,62,78,71,67,78,Left,100158
E. García,25,Aston Villa,Netherlands,78,79,13510000,25000,LB,76,59,60,66,90,88,Left,100159
H. Moreau,16,Ajax,Belgium,66,80,11880000,21000,LB,86,46,67,75,74,77,Right,100160
A. Schneider,28,FC Barcelona,Nigeria,83,86,17720000,35000,RW,91,75,58,86,45,58,Right,100161
S. Jones,24,Inter,Portugal,80,86,16590000,33000,LM,69,68,71,82,76,64,Left,100162
G. Van Dijk,22,Atlético de Madrid,Norway,73,76,11280000,23000,ST,84,88,79,89,29,78,Right,100163
S. Silva,18,Manchester City,Japan,65,74,9730000,18000,GK,71,63,80,61,55,73,Right,100164
D. Dubois,17,Bayer 04 Leverkusen,Belgium,62,68,7600000,14000,RWB,70,59,61,57,70,85,Right,100165
E. Jones,25,Manchester City,Uruguay,81,83,15890000,31000,GK,66,73,59,71,51,81,Right,100166
O. Smith,30,Paris Saint-Germain,Portugal,84,84,17450000,35000,GK,70,78,73,67,55,81,Right,100167
M. Moreau,23,Paris Saint-Germain,Belgium,73,82,13380000,24000,RM,69,82,85,77,64,83,Left,100168
L. Jones,17,FC Barcelona,Brazil,71,86,14460000,30000,CAM,68,74,90,86,71,83,Right,100169
N. Van Dijk,19,Real Madrid,Belgium,76,86,15430000,31000,RW,88,80,65,85,51,77,Right,100170
S. Kovacić,25,Aston Villa,Uruguay,76,78,12630000,26000,RW,79,71,74,81,48,57,Right,100171
L. Popov,21,Free Agent,Italy,80,83,15540000,27000,LWB,64,60,77,77,79,74,Right,100172
E. Smith,19,Bayern München,Brazil,62,71,8650000,20000,GK,76,79,67,77,35,80,Right,100173
N. Fernández,20,Bayern München,Netherlands,73,80,12680000,22000,GK,84,67,67,77,37,71,Right,100174
D. Taylor,16,Brighton & Hove Albion,Brazil,74,80,12880000,27000,LW,90,76,82,83,48,66,Left,100175
R. Smith,33,Liverpool,England,77,77,8150000,15000,GK,74,59,55,89,51,67,Right,100176
H. Dubois,20,Atlético de Madrid,Germany,69,76,10710000,18000,LWB,64,59,70,55,88,81,Right,100177
M. Moreau,16,Bayer 04 Leverkusen,Germany,76,82,14030000,25000,CDM,73,83,72,70,60,63,Left,100178
R. Silva,33,Manchester City,Italy,81,81,9880000,20000,GK,65,67,56,84,41,84,Right,100179
J. García,17,Free Agent,Portugal,69,78,11410000,25000,RWB,80,44,65,56,76,84,Right,100180
L. Popov,30,Real Madrid,Belgium,73,73,10230000,19000,RB,81,57,71,63,70,87,Right,100181
S. Schneider,34,Bayern München,France,77,77,8150000,16000,RWB,77,52,71,57,70,73,Right,100182
G. Kovacić,22,Juventus,France,80,88,17290000,33000,GK,63,58,68,64,36,75,Right,100183
L. Smith,27,Sporting CP,Germany,72,74,10410000,19000,CDM,70,60,69,77,59,66,Right,100184
D. Brown,19,Bayern München,Nigeria,70,80,12230000,22000,LW,71,88,72,73,32,81,Right,100185
H. Silva,24,Manchester City,Japan,77,80,13580000,28000,GK,67,82,59,72,51,82,Left,100186
N. Jones,21,FC Barcelona,Spain,83,90,19120000,36000,ST,88,90,60,91,32,56,Right,100187
L. Moreau,21,Free Agent,Italy,80,86,16590000,30000,CB,65,58,73,70,75,68,Left,100188
M. Popov,18,Brighton & Hove Albion,Germany,77,91,17430000,31000,LM,74,82,88,75,53,63,Right,100189
H. Dubois,18,Brighton & Hove Albion,Italy,66,81,12230000,24000,LWB,78,65,77,64,77,78,Left,100190
L. Conti,18,Brighton & Hove Albion,Italy,68,75,10270000,20000,LW,71,78,70,79,31,56,Right,100191
N. García,19,FC Barcelona,Spain,75,81,13440000,29000,CM,78,65,69,89,62,60,Right,100192
D. Müller,17,Free Agent,England,64,76,10410000,22000,ST,78,66,72,72,53,76,Right,100193
D. Smith,29,Manchester City,Norway,73,74,10580000,23000,GK,71,66,76,76,44,86,Right,100194
V. Brown,19,Bayer 04 Leverkusen,Brazil,71,84,13760000,26000,CDM,75,72,79,69,76,60,Left,100195
D. Taylor,22,Atlético de Madrid,Germany,79,87,16620000,29000,CB,70,67,60,69,82,86,Right,100196
A. Popov,19,Free Agent,France,68,83,13070000,26000,LWB,73,63,58,71,70,80,Right,100197
S. Rossi,26,Juventus,Uruguay,84,86,18150000,35000,GK,83,65,74,91,36,79,Right,100198
V. Van Dijk,23,FC Barcelona,Brazil,73,77,11630000,26000,LB,62,51,66,75,82,83,Right,100199
M. Smith,26,Ajax,Italy,75,77,12040000,26000,GK,55,69,56,88,37,81,Right,100200
O. Kovacić,23,FC Barcelona,England,79,82,14870000,31000,CAM,73,73,75,79,74,74,Right,100201
M. García,17,Liverpool,Nigeria,69,76,10710000,23000,RWB,71,58,57,74,81,82,Left,100202
K. Moreau,21,Bayer 04 Leverkusen,Ghana,81,89,17990000,35000,LW,81,84,61,76,30,70,Right,100203
L. Rossi,21,Benfica,Ghana,82,89,18370000,37000,LM,82,78,69,89,57,68,Right,100204
M. Popov,33,Manchester City,France,84,84,11340000,24000,GK,75,72,84,91,52,78,Right,100205
L. Moreau,32,Inter,Italy,73,73,6650000,13000,CM,72,70,68,71,58,65,Right,100206
K. Schneider,24,Arsenal,Croatia,70,79,11880000,22000,GK,71,66,79,73,49,80,Right,100207
M. Santos,21,Brighton & Hove Albion,France,79,84,15570000,30000,CDM,71,65,85,66,51,58,Left,100208
V. Smith,17,Aston Villa,Colombia,74,80,12880000,23000,GK,56,80,68,85,52,79,Right,100209
L. Conti,18,Paris Saint-Germain,Nigeria,68,74,9920000,19000,GK,65,57,81,65,43,70,Right,100210
L. Dubois,22,Brighton & Hove Albion,Croatia,82,91,19070000,34000,GK,66,62,62,77,54,79,Right,100211
O. Dubois,25,Juventus,Argentina,76,78,12630000,27000,RW,85,68,63,89,50,57,Right,100212
D. De Jong,16,Arsenal,Netherlands,73,88,15480000,31000,GK,65,72,76,71,57,76,Right,100213
J. Schneider,18,Arsenal,Spain,74,82,13580000,26000,RB,78,42,77,75,90,86,Right,100214
V. Kovacić,18,Ajax,Italy,67,74,9840000,17000,LW,74,88,66,70,52,64,Right,100215
N. Williams,20,Ajax,Norway,74,85,14630000,31000,LWB,60,41,66,71,88,87,Right,100216
M. García,22,Inter,Nigeria,79,84,15570000,30000,GK,74,78,72,76,53,73,Left,100217
D. Rossi,20,FC Barcelona,Spain,66,73,9430000,22000,GK,56,69,56,63,40,71,Left,100218
H. Kovacić,19,Bayer 04 Leverkusen,Italy,64,79,11460000,21000,ST,81,67,70,85,32,75,Left,100219
H. Fernández,24,Juventus,Spain,70,73,9780000,20000,CB,63,64,77,64,79,81,Right,100220
H. Jones,32,Sporting CP,Ghana,72,72,6310000,14000,GK,68,79,74,61,41,70,Right,100221
E. Van Dijk,23,Brighton & Hove Albion,Italy,76,78,12630000,22000,CAM,63,60,72,70,80,58,Right,100222
O. Fernández,24,Free Agent,Croatia,75,80,13090000,27000,CDM,84,72,78,75,52,79,Right,100223
L. Conti,18,FC Barcelona,Brazil,71,86,14460000,28000,RM,70,58,72,85,57,68,Right,100224
L. Popov,29,FC Barcelona,Norway,80,80,14490000,28000,LM,66,69,72,82,66,81,Left,100225
M. García,25,Brighton & Hove Albion,Ghana,84,86,18150000,34000,CM,73,77,85,79,51,66,Right,100226
E. Schneider,21,Bayer 04 Leverkusen,Italy,71,74,10260000,20000,GK,55,60,59,80,39,65,Left,100227
L. Müller,21,FC Barcelona,Norway,81,86,16940000,34000,LB,79,58,65,56,85,74,Right,100228
R. Müller,20,Aston Villa,Brazil,76,83,14380000,26000,GK,74,77,84,72,54,80,Right,100229
E. Jones,29,Manchester City,Colombia,77,78,12880000,24000,RWB,60,42,60,59,82,89,Right,100230
R. Rossi,19,Ajax,Netherlands,62,74,9700000,22000,LWB,85,44,72,72,84,75,Right,100231
J. De Jong,26,Ajax,Nigeria,86,89,20130000,36000,LM,69,82,81,69,50,58,Right,100232
E. Schmidt,18,Arsenal,Belgium,77,87,16030000,29000,LW,74,73,83,69,42,60,Right,100233
A. Fernández,19,Sporting CP,Germany,62,76,10400000,23000,RW,85,77,66,88,37,63,Right,100234
S. Jones,17,Sporting CP,Brazil,63,74,9700000,21000,GK,58,73,60,61,52,77,Left,100235
H. De Jong,25,Real Madrid,Colombia,82,84,16620000,33000,GK,78,61,79,80,49,65,Right,100236
G. Van Dijk,20,FC Barcelona,Uruguay,68,78,11320000,23000,RW,94,65,74,84,27,66,Right,100237
L. Conti,16,Arsenal,Brazil,72,80,12510000,25000,GK,68,64,56,73,43,67,Right,100238
L. Williams,21,Ajax,France,75,84,14490000,31000,LM,67,78,79,70,51,73,Right,100239
J. Müller,22,Free Agent,Ghana,79,84,15570000,30000,GK,77,60,68,77,46,75,Left,100240
G. Rossi,16,Bayern München,England,68,80,12020000,25000,GK,69,79,58,70,53,79,Right,100241
N. Fernández,18,Benfica,Morocco,74,85,14630000,30000,LW,71,78,61,83,45,74,Right,100242
E. Smith,23,Real Madrid,Uruguay,80,88,17290000,35000,LB,62,42,70,64,71,85,Right,100243
N. Brown,20,Atlético de Madrid,Spain,74,83,13930000,26000,CF,94,75,64,79,34,61,Right,100244
M. Van Dijk,21,Atlético de Madrid,Belgium,74,82,13580000,26000,LW,86,74,67,91,28,74,Right,100245
D. Dubois,21,Bayern München,Italy,74,81,13230000,24000,CDM,73,81,80,75,64,70,Right,100246
A. Conti,22,Paris Saint-Germain,Nigeria,73,79,12330000,22000,GK,63,80,63,74,44,74,Left,100247
N. Jones,28,Manchester City,Norway,85,85,18250000,35000,LB,86,38,72,73,71,74,Right,100248
M. Conti,23,Inter,Ghana,69,73,9660000,19000,GK,59,87,77,80,51,86,Left,100249
M. Schmidt,16,Inter,Uruguay,76,84,14730000,27000,RW,76,75,67,76,38,67,Right,100250
L. De Jong,22,Brighton & Hove Albion,Croatia,81,83,15890000,28000,CAM,64,64,88,83,52,67,Left,100251
E. Williams,20,Benfica,Uruguay,68,82,12720000,27000,RW,93,78,76,71,50,60,Right,100252
N. Smith,22,Paris Saint-Germain,Morocco,74,80,12880000,27000,GK,87,57,63,67,35,70,Right,100253
N. Conti,20,Inter,Norway,65,71,8680000,18000,CDM,66,69,88,73,55,65,Left,100254
H. De Jong,23,Ajax,England,73,78,11980000,23000,CF,72,86,63,69,47,66,Right,100255
M. García,23,Aston Villa,Uruguay,68,72,9220000,18000,RW,92,84,65,89,36,80,Right,100256
R. Jones,30,Manchester City,Brazil,80,80,14490000,27000,GK,70,84,79,82,50,76,Right,100257
D. Van Dijk,19,Manchester City,Brazil,73,86,14780000,28000,RB,75,64,67,77,86,75,Left,100258
H. García,16,Arsenal,Ghana,65,78,11130000,24000,CAM,73,58,88,85,55,79,Right,100259
S. Dubois,17,Bayern München,France,68,74,9920000,18000,RW,85,76,63,87,26,83,Right,100260
A. Fernández,16,Liverpool,Belgium,62,74,9700000,18000,LW,78,85,59,92,33,55,Left,100261
