short_name,age,club_name,nationality_name,overall,potential,value_eur,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,preferred_foot,sofifa_id,primary_position,position_group,age_bucket,growth_potential,value_million,value_for_money,hidden_gem_flag
G. Conti,18,Manchester City,Netherlands,69,77,11060000,19000,RM,64,60,68,70,59,64,Right,100031,RM,Midfielder,U21,8,11.06,6.24,Hidden Gem
S. García,23,Bayer 04 Leverkusen,Italy,79,87,16620000,29000,LM,69,69,69,66,65,80,Right,100032,LM,Midfielder,21-25,8,16.62,4.75,Hidden Gem
H. Müller,19,Liverpool,Brazil,69,79,11760000,23000,LW,77,86,60,68,27,59,Right,100033,LW,Attacker,U21,10,11.76,5.87,Hidden Gem
K. Kovacić,32,Aston Villa,Uruguay,70,70,5670000,13000,RM,66,83,90,79,56,66,Right,100034,RM,Midfielder,30+,0,5.67,12.35,Regular Target
N. García,23,Manchester City,Germany,77,80,13580000,25000,RWB,78,66,61,71,87,71,Right,100035,RWB,Defender,21-25,3,13.58,5.67,Regular Target
R. García,28,Aston Villa,Croatia,76,76,11930000,22000,LWB,70,63,58,67,74,86,Left,100036,LWB,Defender,26-30,0,11.93,6.37,Regular Target
L. Fernández,18,Free Agent,Belgium,63,78,11100000,21000,RM,86,78,73,77,61,77,Right,100037,RM,Midfielder,U21,15,11.1,5.68,Hidden Gem
K. Schneider,27,Ajax,France,80,83,15540000,29000,GK,82,79,61,89,35,65,Right,100038,GK,Goalkeeper,26-30,3,15.54,5.15,Regular Target
L. Rossi,18,Sporting CP,Portugal,75,89,16240000,31000,RWB,72,37,61,60,75,76,Right,100039,RWB,Defender,U21,14,16.24,4.62,Hidden Gem
A. Brown,21,Real Madrid,Italy,68,72,9220000,21000,CM,73,81,82,87,81,81,Left,100040,CM,Midfielder,U21,4,9.22,7.38,Regular Target
D. Rossi,23,Borussia Dortmund,England,68,75,10270000,23000,GK,66,56,57,76,39,81,Right,100041,GK,Goalkeeper,21-25,7,10.27,6.62,Regular Target
N. García,35,Free Agent,Brazil,84,84,11340000,24000,GK,56,82,76,82,39,65,Right,100042,GK,Goalkeeper,30+,0,11.34,7.41,Regular Target
S. Brown,22,Brighton & Hove Albion,Portugal,81,84,16240000,33000,CF,81,90,63,90,28,77,Right,100043,CF,Attacker,21-25,3,16.24,4.99,Regular Target
D. Jones,24,Sporting CP,Nigeria,78,80,13860000,25000,LM,67,81,72,85,51,63,Right,100044,LM,Midfielder,21-25,2,13.86,5.63,Regular Target
N. Conti,20,Real Madrid,Morocco,76,82,14030000,28000,LB,87,40,70,57,87,71,Right,100045,LB,Defender,U21,6,14.03,5.42,Regular Target
N. Santos,16,Borussia Dortmund,Spain,64,72,9010000,18000,CB,66,67,62,61,85,75,Right,100046,CB,Defender,U21,8,9.01,7.1,Hidden Gem
M. Dubois,18,Liverpool,Japan,73,87,15130000,32000,CDM,71,60,74,81,75,73,Right,100047,CDM,Midfielder,U21,14,15.13,4.82,Hidden Gem
V. Williams,21,Borussia Dortmund,Japan,79,81,14520000,27000,RWB,60,46,59,59,90,76,Left,100048,RWB,Defender,U21,2,14.52,5.44,Regular Target
L. Smith,19,Atlético de Madrid,Colombia,64,72,9010000,20000,CB,83,67,78,74,78,84,Left,100049,CB,Defender,U21,8,9.01,7.1,Hidden Gem
L. Santos,18,Aston Villa,Italy,67,80,11940000,24000,ST,72,80,82,70,49,83,Right,100050,ST,Attacker,U21,13,11.94,5.61,Hidden Gem
J. Taylor,19,Ajax,Brazil,75,82,13790000,28000,LB,81,50,63,58,68,71,Left,100051,LB,Defender,U21,7,13.79,5.44,Regular Target
H. Dubois,19,FC Barcelona,Nigeria,66,75,10130000,19000,RB,67,41,57,71,68,83,Right,100052,RB,Defender,U21,9,10.13,6.52,Hidden Gem
N. Dubois,17,Paris Saint-Germain,Colombia,64,75,10060000,21000,GK,76,84,60,65,47,83,Left,100053,GK,Goalkeeper,U21,11,10.06,6.36,Hidden Gem
M. Santos,27,Paris Saint-Germain,Croatia,71,71,9210000,20000,CF,70,79,58,72,52,83,Right,100054,CF,Attacker,26-30,0,9.21,7.71,Regular Target
H. Rossi,21,Brighton & Hove Albion,Morocco,71,75,10610000,23000,RW,86,81,69,81,45,60,Left,100055,RW,Attacker,U21,4,10.61,6.69,Regular Target
E. Schmidt,20,Manchester City,Morocco,70,80,12230000,23000,LB,76,65,57,55,87,88,Right,100056,LB,Defender,U21,10,12.23,5.72,Hidden Gem
M. Kovacić,18,Benfica,Ghana,62,70,8300000,14000,CDM,79,82,77,87,75,60,Right,100057,CDM,Midfielder,U21,8,8.3,7.47,Hidden Gem
E. García,22,FC Barcelona,Netherlands,75,78,12390000,25000,GK,76,77,56,90,44,66,Left,100058,GK,Goalkeeper,21-25,3,12.39,6.05,Regular Target
V. Popov,19,Manchester City,Spain,69,75,10360000,22000,GK,83,80,57,77,59,77,Left,100059,GK,Goalkeeper,U21,6,10.36,6.66,Regular Target
J. Conti,17,Borussia Dortmund,Belgium,68,82,12720000,26000,CAM,74,77,68,73,81,71,Left,100060,CAM,Midfielder,U21,14,12.72,5.35,Hidden Gem
H. Conti,25,FC Barcelona,France,81,83,15890000,29000,RB,87,36,77,76,86,89,Left,100061,RB,Defender,21-25,2,15.89,5.1,Regular Target
A. Schmidt,22,Sporting CP,Belgium,73,75,10930000,20000,GK,60,69,76,70,39,65,Right,100062,GK,Goalkeeper,21-25,2,10.93,6.68,Regular Target
G. De Jong,25,Inter,Argentina,81,84,16240000,28000,CDM,68,61,73,78,81,77,Left,100063,CDM,Midfielder,21-25,3,16.24,4.99,Regular Target
M. Silva,20,Free Agent,Norway,64,76,10410000,22000,RM,79,67,86,82,73,76,Right,100064,RM,Midfielder,U21,12,10.41,6.15,Hidden Gem
L. Fernández,20,Free Agent,Brazil,68,83,13070000,23000,RB,85,57,63,66,88,68,Right,100065,RB,Defender,U21,15,13.07,5.2,Hidden Gem
J. Conti,18,Bayer 04 Leverkusen,Belgium,62,69,7950000,19000,RM,83,73,75,78,70,58,Left,100066,RM,Midfielder,U21,7,7.95,7.8,Regular Target
N. Smith,30,Liverpool,England,74,74,10780000,23000,CDM,66,79,90,68,61,83,Right,100067,CDM,Midfielder,26-30,0,10.78,6.86,Regular Target
S. Schneider,20,Ajax,Morocco,66,77,10830000,21000,CM,75,62,82,82,79,71,Left,100068,CM,Midfielder,U21,11,10.83,6.09,Hidden Gem
N. Müller,32,Free Agent,England,72,72,6310000,16000,GK,70,80,80,75,55,71,Right,100069,GK,Goalkeeper,30+,0,6.31,11.41,Regular Target
L. Santos,19,Inter,Uruguay,75,85,14840000,28000,LWB,85,44,76,59,71,69,Right,100070,LWB,Defender,U21,10,14.84,5.05,Hidden Gem
G. Fernández,19,Atlético de Madrid,Morocco,71,86,14460000,29000,CM,87,58,91,70,62,61,Left,100071,CM,Midfielder,U21,15,14.46,4.91,Hidden Gem
E. Schneider,22,Brighton & Hove Albion,France,83,91,19470000,39000,LB,87,66,74,66,85,70,Right,100072,LB,Defender,21-25,8,19.47,4.26,Hidden Gem
G. Moreau,22,Paris Saint-Germain,Germany,68,74,9920000,20000,LM,72,62,79,68,50,58,Left,100073,LM,Midfielder,21-25,6,9.92,6.85,Regular Target
G. Schmidt,23,Ajax,Uruguay,78,83,14910000,30000,GK,67,66,68,61,53,82,Right,100074,GK,Goalkeeper,21-25,5,14.91,5.23,Regular Target
L. Schmidt,23,Aston Villa,Italy,68,71,8870000,16000,LB,85,44,56,73,76,74,Right,100075,LB,Defender,21-25,3,8.87,7.67,Regular Target
D. Brown,17,Aston Villa,Morocco,66,73,9430000,17000,GK,65,83,78,63,59,85,Right,100076,GK,Goalkeeper,U21,7,9.43,7.0,Regular Target
S. Schneider,31,Liverpool,England,71,71,5990000,13000,GK,63,78,57,76,37,80,Right,100077,GK,Goalkeeper,30+,0,5.99,11.85,Regular Target
O. Smith,17,Sporting CP,Germany,62,74,9700000,19000,RW,93,87,62,79,41,77,Left,100078,RW,Attacker,U21,12,9.7,6.39,Hidden Gem
M. Smith,24,Real Madrid,Ghana,76,80,13330000,28000,RB,76,54,70,76,80,86,Right,100079,RB,Defender,21-25,4,13.33,5.7,Regular Target
N. Conti,20,Juventus,Germany,73,87,15130000,30000,LM,70,64,81,85,68,83,Right,100080,LM,Midfielder,U21,14,15.13,4.82,Hidden Gem
O. Van Dijk,22,Inter,Morocco,72,78,11810000,25000,LM,86,77,88,69,70,80,Right,100081,LM,Midfielder,21-25,6,11.81,6.1,Regular Target
M. Schneider,25,Inter,Croatia,76,76,11930000,26000,LWB,85,48,59,57,90,78,Right,100082,LWB,Defender,21-25,0,11.93,6.37,Regular Target
J. Smith,23,Juventus,Nigeria,82,87,17670000,32000,CAM,73,74,73,72,63,70,Left,100083,CAM,Midfielder,21-25,5,17.67,4.64,Regular Target
M. Williams,18,Paris Saint-Germain,Spain,70,77,11180000,22000,CF,71,69,62,73,43,62,Right,100084,CF,Attacker,U21,7,11.18,6.26,Regular Target
G. Rossi,20,Borussia Dortmund,Portugal,62,73,9350000,16000,CDM,78,64,80,69,53,63,Right,100085,CDM,Midfielder,U21,11,9.35,6.63,Hidden Gem
G. Williams,23,FC Barcelona,Nigeria,70,76,10830000,21000,GK,81,64,80,78,41,67,Left,100086,GK,Goalkeeper,21-25,6,10.83,6.46,Regular Target
N. Van Dijk,19,Borussia Dortmund,Brazil,63,78,11100000,25000,LWB,87,42,63,61,68,70,Right,100087,LWB,Defender,U21,15,11.1,5.68,Hidden Gem
G. Schneider,22,Sporting CP,Nigeria,81,83,15890000,29000,GK,79,87,60,80,40,76,Right,100088,GK,Goalkeeper,21-25,2,15.89,5.1,Regular Target
H. Müller,32,Ajax,Ghana,80,80,9420000,18000,CB,74,55,70,76,88,78,Right,100089,CB,Defender,30+,0,9.42,8.49,Regular Target
A. Jones,28,Paris Saint-Germain,Japan,73,75,10930000,24000,LW,89,89,75,82,33,71,Left,100090,LW,Attacker,26-30,2,10.93,6.68,Regular Target
S. Brown,23,Benfica,Netherlands,82,84,16620000,30000,CM,83,79,70,81,72,82,Right,100091,CM,Midfielder,21-25,2,16.62,4.93,Regular Target
E. Dubois,28,Liverpool,Italy,79,82,14870000,29000,ST,77,70,69,91,52,75,Right,100092,ST,Attacker,26-30,3,14.87,5.31,Regular Target
L. Dubois,19,Aston Villa,Brazil,73,82,13380000,27000,GK,62,82,82,64,43,68,Right,100093,GK,Goalkeeper,U21,9,13.38,5.46,Hidden Gem
K. Conti,33,Free Agent,Nigeria,84,84,11340000,25000,GK,87,74,67,87,50,77,Left,100094,GK,Goalkeeper,30+,0,11.34,7.41,Regular Target
K. Van Dijk,28,Real Madrid,Croatia,75,76,11690000,20000,GK,59,79,56,69,58,82,Left,100095,GK,Goalkeeper,26-30,1,11.69,6.42,Regular Target
E. Van Dijk,21,Brighton & Hove Albion,Morocco,72,80,12510000,23000,GK,87,55,72,91,49,81,Right,100096,GK,Goalkeeper,U21,8,12.51,5.76,Hidden Gem
S. Smith,20,Benfica,France,71,85,14110000,28000,CF,86,77,58,69,33,57,Left,100097,CF,Attacker,U21,14,14.11,5.03,Hidden Gem
E. Jones,18,Arsenal,Morocco,66,78,11180000,24000,LM,78,62,72,71,52,78,Right,100098,LM,Midfielder,U21,12,11.18,5.9,Hidden Gem
N. Smith,22,Arsenal,Nigeria,72,78,11810000,25000,ST,79,83,74,88,38,63,Right,100099,ST,Attacker,21-25,6,11.81,6.1,Regular Target
M. Conti,17,Bayer 04 Leverkusen,Nigeria,64,73,9360000,21000,GK,55,86,56,87,42,71,Right,100100,GK,Goalkeeper,U21,9,9.36,6.84,Hidden Gem
S. Smith,23,Liverpool,Spain,69,76,10710000,20000,LM,64,75,79,66,71,69,Left,100101,LM,Midfielder,21-25,7,10.71,6.44,Regular Target
D. Dubois,21,FC Barcelona,England,81,85,16590000,31000,GK,71,77,69,64,55,78,Right,100102,GK,Goalkeeper,U21,4,16.59,4.88,Regular Target
L. Popov,23,Arsenal,Netherlands,70,78,11530000,25000,LB,61,52,69,73,69,87,Right,100103,LB,Defender,21-25,8,11.53,6.07,Hidden Gem
V. Schmidt,21,Ajax,Belgium,68,77,10970000,20000,ST,92,74,76,84,29,83,Right,100104,ST,Attacker,U21,9,10.97,6.2,Hidden Gem
R. Fernández,18,Paris Saint-Germain,Norway,69,75,10360000,23000,RWB,76,54,78,59,69,73,Right,100105,RWB,Defender,U21,6,10.36,6.66,Regular Target
V. Van Dijk,21,Aston Villa,Portugal,80,87,16940000,33000,GK,65,77,77,75,45,86,Right,100106,GK,Goalkeeper,U21,7,16.94,4.72,Regular Target
E. Popov,23,Bayern München,England,71,80,12360000,24000,CB,83,59,57,57,85,86,Right,100107,CB,Defender,21-25,9,12.36,5.74,Hidden Gem
N. Brown,16,Juventus,France,66,73,9430000,21000,RW,79,86,78,73,25,59,Left,100108,RW,Attacker,U21,7,9.43,7.0,Regular Target
K. De Jong,20,Ajax,Brazil,71,78,11660000,22000,ST,83,90,70,76,50,79,Left,100109,ST,Attacker,U21,7,11.66,6.09,Regular Target
S. Popov,21,Free Agent,Japan,73,81,13030000,28000,RWB,70,51,58,55,75,84,Left,100110,RWB,Defender,U21,8,13.03,5.6,Hidden Gem
O. Dubois,22,FC Barcelona,Belgium,71,79,12010000,21000,RW,93,86,71,90,38,78,Left,100111,RW,Attacker,21-25,8,12.01,5.91,Hidden Gem
V. Popov,24,Aston Villa,Italy,77,84,14980000,31000,LWB,78,41,57,69,90,81,Right,100112,LWB,Defender,21-25,7,14.98,5.14,Regular Target
E. Williams,24,Bayer 04 Leverkusen,Uruguay,79,85,15920000,31000,RW,75,67,76,82,49,77,Right,100113,RW,Attacker,21-25,6,15.92,4.96,Regular Target
R. Moreau,20,Free Agent,France,71,83,13410000,25000,CAM,78,64,89,77,74,74,Right,100114,CAM,Midfielder,U21,12,13.41,5.29,Hidden Gem
K. Williams,19,Free Agent,Netherlands,70,79,11880000,20000,GK,72,76,56,74,42,72,Left,100115,GK,Goalkeeper,U21,9,11.88,5.89,Hidden Gem
L. García,20,Inter,Netherlands,64,79,11460000,22000,LW,74,70,77,69,51,78,Left,100116,LW,Attacker,U21,15,11.46,5.58,Hidden Gem
V. De Jong,21,Benfica,Morocco,73,79,12330000,25000,RB,60,56,75,60,73,83,Right,100117,RB,Defender,U21,6,12.33,5.92,Regular Target
D. Jones,18,Liverpool,Norway,72,85,14260000,28000,RW,78,87,60,86,32,59,Right,100118,RW,Attacker,U21,13,14.26,5.05,Hidden Gem
J. Conti,33,Bayern München,Morocco,73,73,6650000,11000,CB,87,45,58,69,73,89,Right,100119,CB,Defender,30+,0,6.65,10.98,Regular Target
N. Moreau,19,Sporting CP,Norway,69,80,12110000,26000,LB,84,36,69,65,75,86,Right,100120,LB,Defender,U21,11,12.11,5.7,Hidden Gem
G. De Jong,26,Paris Saint-Germain,Norway,74,75,11130000,25000,RB,81,38,73,74,68,87,Right,100121,RB,Defender,26-30,1,11.13,6.65,Regular Target
M. Santos,19,Free Agent,Norway,76,82,14030000,29000,RB,65,45,58,67,78,70,Right,100122,RB,Defender,U21,6,14.03,5.42,Regular Target
L. Kovacić,17,Inter,Japan,63,76,10400000,18000,ST,74,87,67,79,26,67,Left,100123,ST,Attacker,U21,13,10.4,6.06,Hidden Gem
E. Santos,23,Liverpool,Japan,71,73,9910000,18000,RW,74,73,74,76,35,69,Right,100124,RW,Attacker,21-25,2,9.91,7.16,Regular Target
N. García,21,Manchester City,Brazil,74,78,12180000,25000,GK,85,59,84,87,46,82,Right,100125,GK,Goalkeeper,U21,4,12.18,6.08,Regular Target
G. Fernández,17,Free Agent,Colombia,69,83,13160000,25000,CDM,64,60,68,73,81,79,Right,100126,CDM,Midfielder,U21,14,13.16,5.24,Hidden Gem
H. Rossi,16,Brighton & Hove Albion,Norway,74,87,15330000,30000,LW,78,69,71,70,45,59,Right,100127,LW,Attacker,U21,13,15.33,4.83,Hidden Gem
J. Moreau,25,FC Barcelona,Argentina,83,84,17020000,32000,GK,58,79,67,69,59,82,Right,100128,GK,Goalkeeper,21-25,1,17.02,4.88,Regular Target
N. Schneider,25,Real Madrid,Colombia,76,79,12980000,26000,RWB,78,67,77,69,68,84,Left,100129,RWB,Defender,21-25,3,12.98,5.86,Regular Target
M. Dubois,27,Inter,Norway,71,72,9560000,21000,RW,77,72,76,74,43,60,Left,100130,RW,Attacker,26-30,1,9.56,7.43,Regular Target
S. Kovacić,29,Bayer 04 Leverkusen,Colombia,76,78,12630000,27000,GK,69,83,55,79,41,68,Right,100131,GK,Goalkeeper,26-30,2,12.63,6.02,Regular Target
S. Müller,35,FC Barcelona,England,68,68,5080000,11000,LB,64,61,77,55,71,89,Right,100132,LB,Defender,30+,0,5.08,13.39,Regular Target
V. Rossi,23,Ajax,Germany,72,76,11110000,21000,RM,62,79,73,78,80,72,Left,100133,RM,Midfielder,21-25,4,11.11,6.48,Regular Target
S. Brown,26,Free Agent,Japan,84,84,17450000,34000,LM,66,72,71,77,62,59,Left,100134,LM,Midfielder,26-30,0,17.45,4.81,Regular Target
K. Conti,16,Liverpool,France,64,72,9010000,17000,GK,80,81,59,79,45,74,Right,100135,GK,Goalkeeper,U21,8,9.01,7.1,Hidden Gem
V. Silva,19,Liverpool,England,67,80,11940000,21000,RWB,85,46,67,62,85,68,Right,100136,RWB,Defender,U21,13,11.94,5.61,Hidden Gem
S. Schneider,16,Brighton & Hove Albion,Japan,73,82,13380000,29000,LW,74,88,62,75,34,71,Right,100137,LW,Attacker,U21,9,13.38,5.46,Hidden Gem
K. Conti,22,Juventus,Germany,77,79,13230000,28000,RW,88,78,65,76,46,65,Right,100138,RW,Attacker,21-25,2,13.23,5.82,Regular Target
N. Rossi,20,Aston Villa,Morocco,75,85,14840000,29000,LM,87,71,71,87,72,82,Right,100139,LM,Midfielder,U21,10,14.84,5.05,Hidden Gem
O. Moreau,19,Juventus,Germany,67,79,11590000,25000,ST,84,85,72,76,45,63,Left,100140,ST,Attacker,U21,12,11.59,5.78,Hidden Gem
K. Santos,18,Bayer 04 Leverkusen,Ghana,70,80,12230000,26000,GK,79,80,65,65,36,71,Right,100141,GK,Goalkeeper,U21,10,12.23,5.72,Hidden Gem
M. Schmidt,19,Liverpool,Morocco,63,69,7950000,18000,LW,81,91,76,89,48,79,Right,100142,LW,Attacker,U21,6,7.95,7.92,Regular Target
N. Fernández,21,Real Madrid,Netherlands,73,79,12330000,27000,LM,62,74,78,87,75,75,Right,100143,LM,Midfielder,U21,6,12.33,5.92,Regular Target
L. Taylor,23,Brighton & Hove Albion,Spain,74,76,11480000,25000,RM,70,74,87,87,71,65,Right,100144,RM,Midfielder,21-25,2,11.48,6.45,Regular Target
L. Müller,21,Benfica,Norway,68,77,10970000,22000,GK,84,77,73,86,58,83,Right,100145,GK,Goalkeeper,U21,9,10.97,6.2,Hidden Gem
N. Dubois,19,Ajax,Morocco,75,81,13440000,28000,LW,85,72,76,85,25,68,Right,100146,LW,Attacker,U21,6,13.44,5.58,Regular Target
R. Brown,23,Arsenal,Spain,69,72,9310000,21000,CF,86,82,63,86,28,55,Right,100147,CF,Attacker,21-25,3,9.31,7.41,Regular Target
M. Moreau,19,Real Madrid,Norway,68,80,12020000,26000,RW,79,74,76,81,26,82,Right,100148,RW,Attacker,U21,12,12.02,5.66,Hidden Gem
H. Taylor,25,Benfica,Uruguay,87,89,20630000,39000,CF,70,89,80,70,48,77,Right,100149,CF,Attacker,21-25,2,20.63,4.22,Regular Target
O. Schmidt,23,Borussia Dortmund,Croatia,80,89,17640000,34000,LW,74,67,76,68,52,69,Right,100150,LW,Attacker,21-25,9,17.64,4.54,Hidden Gem
O. Williams,24,Aston Villa,Croatia,70,79,11880000,26000,ST,83,88,71,78,40,58,Right,100151,ST,Attacker,21-25,9,11.88,5.89,Regular Target
L. Brown,29,Juventus,Germany,83,85,17370000,31000,ST,85,82,64,77,31,55,Left,100152,ST,Attacker,26-30,2,17.37,4.78,Regular Target
L. Müller,18,Brighton & Hove Albion,Brazil,64,72,9010000,21000,GK,83,72,56,60,49,69,Right,100153,GK,Goalkeeper,U21,8,9.01,7.1,Hidden Gem
O. Popov,19,Aston Villa,Spain,71,78,11660000,25000,RW,92,87,69,87,29,59,Right,100154,RW,Attacker,U21,7,11.66,6.09,Regular Target
N. Taylor,20,Manchester City,Spain,75,89,16240000,33000,RW,81,67,77,89,36,78,Right,100155,RW,Attacker,U21,14,16.24,4.62,Hidden Gem
N. Smith,17,Bayern München,Germany,75,88,15890000,30000,CM,75,80,84,83,68,74,Left,100156,CM,Midfielder,U21,13,15.89,4.72,Hidden Gem
L. Santos,19,Juventus,England,69,76,10710000,19000,RB,84,43,76,76,78,81,Right,100157,RB,Defender,U21,7,10.71,6.44,Regular Target
K. Müller,33,Borussia Dortmund,Ghana,80,80,9420000,19000,CAM,84,62,78,71,67,78,Left,100158,CAM,Midfielder,30+,0,9.42,8.49,Regular Target
E. García,25,Aston Villa,Netherlands,78,79,13510000,25000,LB,76,59,60,66,90,88,Left,100159,LB,Defender,21-25,1,13.51,5.77,Regular Target
H. Moreau,16,Ajax,Belgium,66,80,11880000,21000,LB,86,46,67,75,74,77,Right,100160,LB,Defender,U21,14,11.88,5.56,Hidden Gem
A. Schneider,28,FC Barcelona,Nigeria,83,86,17720000,35000,RW,91,75,58,86,45,58,Right,100161,RW,Attacker,26-30,3,17.72,4.68,Regular Target
S. Jones,24,Inter,Portugal,80,86,16590000,33000,LM,69,68,71,82,76,64,Left,100162,LM,Midfielder,21-25,6,16.59,4.82,Regular Target
G. Van Dijk,22,Atlético de Madrid,Norway,73,76,11280000,23000,ST,84,88,79,89,29,78,Right,100163,ST,Attacker,21-25,3,11.28,6.47,Regular Target
S. Silva,18,Manchester City,Japan,65,74,9730000,18000,GK,71,63,80,61,55,73,Right,100164,GK,Goalkeeper,U21,9,9.73,6.68,Hidden Gem
D. Dubois,17,Bayer 04 Leverkusen,Belgium,62,68,7600000,14000,RWB,70,59,61,57,70,85,Right,100165,RWB,Defender,U21,6,7.6,8.16,Regular Target
E. Jones,25,Manchester City,Uruguay,81,83,15890000,31000,GK,66,73,59,71,51,81,Right,100166,GK,Goalkeeper,21-25,2,15.89,5.1,Regular Target
O. Smith,30,Paris Saint-Germain,Portugal,84,84,17450000,35000,GK,70,78,73,67,55,81,Right,100167,GK,Goalkeeper,26-30,0,17.45,4.81,Regular Target
